case_id,mach,aoa_deg,iterations,surface_rows,runtime_seconds,final_rms_rho,final_rms_rhoe,cp_min,cp_max,cp_range
mach_0p7234_aoa_m1p250,0.7234375,-1.25,167,200,9.040383940002357,-8.018118522,-2.506556306,-1.113243932548245,1.1358172249178426,2.2490611574660875
mach_0p7234_aoa_m1p020,0.7234375,-1.0197368421052633,170,200,1.6811715849980828,-8.026748455,-2.512783967,-1.0257294108057828,1.1380732998860037,2.1638027106917868
mach_0p7234_aoa_m0p789,0.7234375,-0.7894736842105263,140,200,1.3243561620038236,-8.003544497,-2.490297091,-0.9359702140278057,1.1431484522035114,2.079118666231317
mach_0p7234_aoa_m0p559,0.7234375,-0.5592105263157895,133,200,1.290845867995813,-8.036128809,-2.525336498,-0.8423801748333362,1.1449809792604495,1.9873611540937857
mach_0p7234_aoa_m0p329,0.7234375,-0.32894736842105265,124,200,1.2620581000010134,-8.016490475,-2.507718287,-0.7640880617914435,1.1431404024540617,1.907228464245505
mach_0p7234_aoa_m0p099,0.7234375,-0.09868421052631593,117,200,1.1906410430019605,-8.006270731,-2.501054223,-0.6995661754871774,1.137380634657585,1.8369468101447624
mach_0p7234_aoa_p0p132,0.7234375,0.13157894736842102,120,200,8.79858948400215,-8.018359433,-2.513479103,-0.710316788003355,1.1345023546052122,1.8448191426085672
mach_0p7234_aoa_p0p362,0.7234375,0.36184210526315796,126,200,1.2765781720008818,-8.047146957,-2.539355579,-0.7774816952531927,1.1380521174981584,1.915533812751351
mach_0p7234_aoa_p0p592,0.7234375,0.5921052631578947,130,200,1.3675281010000617,-8.023578672,-2.512784297,-0.8596140548205492,1.1379607507482314,1.9975748055687808
mach_0p7234_aoa_p0p822,0.7234375,0.8223684210526314,156,200,1.536613372998545,-8.005286453,-2.492483459,-0.9530458071439633,1.1345393149829075,2.0875851221268706
mach_0p7234_aoa_p1p053,0.7234375,1.0526315789473681,172,200,1.8705179809985566,-8.016544874,-2.504245795,-1.0459088077490357,1.128251049194776,2.1741598569438114
mach_0p7234_aoa_p1p283,0.7234375,1.2828947368421053,168,200,8.967351304003387,-8.012530244,-2.502837534,-1.1280076026122585,1.126801006309024,2.2548086089212824
mach_0p7234_aoa_p1p513,0.7234375,1.513157894736842,157,200,1.5805561270026374,-8.020469804,-2.51144382,-1.1995179445074111,1.130662719622966,2.330180664130377
mach_0p7234_aoa_p1p743,0.7234375,1.7434210526315788,144,200,1.4946339689995511,-8.01704136,-2.509933031,-1.250605652771263,1.1323987674887492,2.3830044202600122
mach_0p7234_aoa_p1p974,0.7234375,1.973684210526316,134,200,1.409447744001227,-8.004272881,-2.498123494,-1.3106959962953404,1.132269475450179,2.442965471745519
mach_0p7234_aoa_p2p204,0.7234375,2.2039473684210527,128,200,1.2542690230038716,-8.012334089,-2.505870726,-1.348383775268985,1.1304647713484868,2.4788485466174714
mach_0p7234_aoa_p2p434,0.7234375,2.4342105263157894,123,200,8.278787553994334,-8.001697013,-2.493399135,-1.3809271748734813,1.1271301165475966,2.508057291421078
mach_0p7234_aoa_p2p664,0.7234375,2.664473684210526,116,200,1.2723115150001831,-8.084483431,-2.573985327,-1.4160717433551704,1.1224061596756303,2.5384779030308007
mach_0p7234_aoa_p2p895,0.7234375,2.894736842105263,124,200,1.3584178750024876,-8.031612639,-2.519077865,-1.4535294675013695,1.1226738770220117,2.576203344523381
mach_0p7234_aoa_p3p125,0.7234375,3.125,107,200,1.417562968999846,-8.021178074,-2.494546297,-1.4936453681082493,1.1265929196200448,2.620238287728294
mach_0p7312_aoa_m1p250,0.73125,-1.25,152,200,1.6334839740011375,-8.028645385,-2.517219189,-1.1375539574640274,1.1381924552598202,2.275746412723848
mach_0p7312_aoa_m1p020,0.73125,-1.0197368421052633,165,200,2.2476515239977743,-8.012091978,-2.501719443,-1.0599431864481723,1.1419489603801984,2.2018921468283708
mach_0p7312_aoa_m0p789,0.73125,-0.7894736842105263,166,200,8.791582561003452,-8.012451269,-2.499597028,-0.9773533163294625,1.146553693478991,2.1239070098084536
mach_0p7312_aoa_m0p559,0.73125,-0.5592105263157895,137,200,1.4385793910041684,-8.004384663,-2.490345161,-0.886226940319644,1.1481398906585638,2.034366830978208
mach_0p7312_aoa_m0p329,0.73125,-0.32894736842105265,130,200,1.3637151069997344,-8.001834539,-2.491141543,-0.7964423121149339,1.1462293613810066,1.9426716734959406
mach_0p7312_aoa_m0p099,0.73125,-0.09868421052631593,125,200,1.3983375030002207,-8.004707715,-2.496542002,-0.7226735234927009,1.1405350997428654,1.8632086232355662
mach_0p7312_aoa_p0p132,0.73125,0.13157894736842102,126,200,1.3443116510024993,-8.000228929,-2.492638507,-0.7344824745755492,1.1376377120038275,1.8721201865793766
mach_0p7312_aoa_p0p362,0.73125,0.36184210526315796,129,200,8.224364063004032,-8.006248473,-2.495822976,-0.8118856172087704,1.1411495895836048,1.953035206792375
mach_0p7312_aoa_p0p592,0.73125,0.5921052631578947,149,200,1.4909965730039403,-8.00561535,-2.492120279,-0.9055175984433295,1.1411590727088836,2.046676671152213
mach_0p7312_aoa_p0p822,0.73125,0.8223684210526314,170,200,2.2839237239968497,-8.022699375,-2.50879852,-0.9957215168292919,1.1380204494657196,2.1337419662950117
mach_0p7312_aoa_p1p053,0.73125,1.0526315789473681,170,200,1.756533155006764,-8.001098206,-2.488917177,-1.0803465348697325,1.1322300355534598,2.2125765704231926
mach_0p7312_aoa_p1p283,0.73125,1.2828947368421053,160,200,8.669819636998,-8.009435537,-2.496070347,-1.1476742430827085,1.1291300320216953,2.2768042751044035
mach_0p7312_aoa_p1p513,0.73125,1.513157894736842,147,200,1.5631070739982533,-8.020541569,-2.509859154,-1.208678365412929,1.133186948435367,2.341865313848296
mach_0p7312_aoa_p1p743,0.73125,1.7434210526315788,139,200,1.5847466900013387,-8.066923447,-2.557456186,-1.2553741101564435,1.135279911147945,2.3906540213043885
mach_0p7312_aoa_p1p974,0.73125,1.973684210526316,131,200,1.3299997430003714,-8.014604078,-2.507263154,-1.3035174265346292,1.1355884388759072,2.4391058654105366
mach_0p7312_aoa_p2p204,0.73125,2.2039473684210527,122,200,1.294842304996564,-8.011403566,-2.506838822,-1.3368267934548543,1.134288449330862,2.471115242785716
mach_0p7312_aoa_p2p434,0.73125,2.4342105263157894,120,200,1.1334478170028888,-8.036943747,-2.527633746,-1.370236151752109,1.1315221239942432,2.5017582757463526
mach_0p7312_aoa_p2p664,0.73125,2.664473684210526,114,200,8.119477788997756,-8.019177799,-2.511597294,-1.406906961305138,1.1274089599168182,2.534315921221956
mach_0p7312_aoa_p2p895,0.73125,2.894736842105263,127,200,1.9038332989948685,-8.04818706,-2.530178355,-1.443249057170513,1.124221668909366,2.567470726079879
mach_0p7312_aoa_p3p125,0.73125,3.125,116,200,1.2836780850047944,-8.01081289,-2.490636083,-1.4808213990292383,1.1285795786960902,2.609400977725328
mach_0p7391_aoa_m1p250,0.7390625,-1.25,147,200,1.5859337040019454,-8.019681393,-2.509631192,-1.1573197328327496,1.1404396992584855,2.297759432091235
mach_0p7391_aoa_m1p020,0.7390625,-1.0197368421052633,156,200,1.6844225140011986,-8.008018064,-2.496353214,-1.0958681608816183,1.1459441274541473,2.2418122883357654
mach_0p7391_aoa_m0p789,0.7390625,-0.7894736842105263,167,200,8.754427116997249,-8.016589829,-2.504451348,-1.0183757818261745,1.1500314110077747,2.168407192833949
mach_0p7391_aoa_m0p559,0.7390625,-0.5592105263157895,166,200,1.8409324750027736,-8.006485823,-2.49165207,-0.9306259162889308,1.1513206960560365,2.081946612344967
mach_0p7391_aoa_m0p329,0.7390625,-0.32894736842105265,140,200,1.48259759600478,-8.02881492,-2.513488473,-0.8401292829756506,1.1493253764869513,1.989454659462602
mach_0p7391_aoa_m0p099,0.7390625,-0.09868421052631593,131,200,1.258501949996571,-8.005235367,-2.495318636,-0.7531069723741113,1.143712889421903,1.8968198617960144
mach_0p7391_aoa_p0p132,0.7390625,0.13157894736842102,132,200,1.5625847920018714,-8.017638785,-2.507203164,-0.7669040778744256,1.1407949799158763,1.907699057790302
mach_0p7391_aoa_p0p362,0.7390625,0.36184210526315796,141,200,1.9068663029975141,-8.011325684,-2.496095878,-0.8578076013921851,1.144261978306561,2.0020695796987464
mach_0p7391_aoa_p0p592,0.7390625,0.5921052631578947,166,200,8.057762236006965,-8.001072249,-2.487038337,-0.9482778844694687,1.144401630678362,2.0926795151478306
mach_0p7391_aoa_p0p822,0.7390625,0.8223684210526314,168,200,1.9713109599979362,-8.001316996,-2.490592034,-1.0278193266604563,1.141601875680875,2.169421202341331
mach_0p7391_aoa_p1p053,0.7390625,1.0526315789473681,156,200,1.6752340539969737,-8.019133651,-2.510286513,-1.101357641287567,1.1363588854997675,2.2377165267873345
mach_0p7391_aoa_p1p283,0.7390625,1.2828947368421053,150,200,1.6450309499996365,-8.035926833,-2.525287938,-1.166098159688155,1.131336085814735,2.29743424550289
mach_0p7391_aoa_p1p513,0.7390625,1.513157894736842,141,200,8.086739687001682,-8.059851566,-2.549602696,-1.200588235960241,1.1356441593080149,2.3362323952682558
mach_0p7391_aoa_p1p743,0.7390625,1.7434210526315788,131,200,1.4132560599973658,-8.014004268,-2.506820893,-1.258433343777761,1.1380938580453324,2.396527201823093
mach_0p7391_aoa_p1p974,0.7390625,1.973684210526316,120,200,1.2930222430004505,-8.035796124,-2.532236675,-1.2949962538801896,1.1388272856847586,2.433823539564948
mach_0p7391_aoa_p2p204,0.7390625,2.2039473684210527,119,200,1.2921809920007945,-8.044638914,-2.535632118,-1.3280705895312408,1.138017255684874,2.466087845216115
mach_0p7391_aoa_p2p434,0.7390625,2.4342105263157894,128,200,1.4896273609992932,-8.069598081,-2.550079738,-1.3604762520424514,1.1357858099598812,2.496262062002333
mach_0p7391_aoa_p2p664,0.7390625,2.664473684210526,120,200,1.3067931260011392,-8.01695202,-2.504217913,-1.3958769687080181,1.1322500023964766,2.528126971104495
mach_0p7391_aoa_p2p895,0.7390625,2.894736842105263,113,200,1.1699468119986705,-8.089470381,-2.566056268,-1.4315516028489217,1.1275109109826074,2.5590625138315293
mach_0p7391_aoa_p3p125,0.7390625,3.125,119,200,8.15463897799782,-8.024834257,-2.510034987,-1.4672171560154246,1.1304335964107708,2.5976507524261954
mach_0p7469_aoa_m1p250,0.746875,-1.25,142,200,1.433120763998886,-8.051640389,-2.54131404,-1.1706239259026068,1.1442319022397933,2.3148558281424
mach_0p7469_aoa_m1p020,0.746875,-1.0197368421052633,149,200,1.5376657390006585,-8.036846963,-2.522988531,-1.1073965664284373,1.1500269539727377,2.2574235204011748
mach_0p7469_aoa_m0p789,0.746875,-0.7894736842105263,158,200,1.7057399900004384,-8.000017659,-2.48771449,-1.047619066798057,1.1535716008142558,2.2011906676123125
mach_0p7469_aoa_m0p559,0.746875,-0.5592105263157895,164,200,1.6509051480024937,-8.012401285,-2.496964269,-0.9724143546775644,1.1545209792275177,2.1269353339050823
mach_0p7469_aoa_m0p329,0.746875,-0.32894736842105265,162,200,9.475184743998398,-8.016072368,-2.499922095,-0.8837623522095727,1.1524147411953154,2.036177093404888
mach_0p7469_aoa_m0p099,0.746875,-0.09868421052631593,140,200,1.4066374530011672,-8.008978387,-2.494264323,-0.7933642460142514,1.1469078086712783,1.9402720546855297
mach_0p7469_aoa_p0p132,0.746875,0.13157894736842102,139,200,1.319006026002171,-8.018630582,-2.503925392,-0.8133087684047036,1.1439670356586074,1.957275804063311
mach_0p7469_aoa_p0p362,0.746875,0.36184210526315796,167,200,1.678565994996461,-8.023611597,-2.508296464,-0.9028926498944533,1.1473854595792432,2.0502781094736964
mach_0p7469_aoa_p0p592,0.746875,0.5921052631578947,170,200,8.669648639996012,-8.016939062,-2.50271779,-0.9881375160051097,1.1476929849183246,2.135830500923434
mach_0p7469_aoa_p0p822,0.746875,0.8223684210526314,158,200,1.5853839590054122,-8.021859468,-2.508393121,-1.0621477846545953,1.145278236059418,2.2074260207140135
mach_0p7469_aoa_p1p053,0.746875,1.0526315789473681,153,200,1.6644556850005756,-8.061424271,-2.548682724,-1.1207662211337253,1.1405798913313492,2.261346112465074
mach_0p7469_aoa_p1p283,0.746875,1.2828947368421053,143,200,1.553438584000105,-8.025472247,-2.515491887,-1.1635655902726074,1.1338907024449445,2.297456292717552
mach_0p7469_aoa_p1p513,0.746875,1.513157894736842,131,200,1.3564396840010886,-8.003018013,-2.493026439,-1.2084294070638504,1.1380337783498438,2.346463185413694
mach_0p7469_aoa_p1p743,0.746875,1.7434210526315788,122,200,1.5441539530002046,-8.034794516,-2.531781634,-1.2551540511217711,1.1408369538327947,2.395991004954566
mach_0p7469_aoa_p1p974,0.746875,1.973684210526316,122,200,8.390017224002804,-8.051240393,-2.542811759,-1.286050262810801,1.1419888607428303,2.4280391235536314
mach_0p7469_aoa_p2p204,0.746875,2.2039473684210527,119,200,1.2365336700022453,-8.057230041,-2.543486051,-1.3169909730106368,1.1416429271653719,2.4586339001760087
mach_0p7469_aoa_p2p434,0.746875,2.4342105263157894,115,200,1.238823275998584,-8.045919562,-2.534795355,-1.349620150979611,1.13991879065025,2.489538941629861
mach_0p7469_aoa_p2p664,0.746875,2.664473684210526,122,200,1.432715470000403,-8.018543155,-2.501625271,-1.3841147756677312,1.1369131453896268,2.521027921057358
mach_0p7469_aoa_p2p895,0.746875,2.894736842105263,129,200,1.3726873900013743,-8.037905456,-2.517587955,-1.4201423900876515,1.1327182053454665,2.552860595433118
mach_0p7469_aoa_p3p125,0.746875,3.125,111,200,1.1780107319937088,-8.052094633,-2.500343467,-1.4538394162067045,1.132176111494696,2.5860155277014005
mach_0p7547_aoa_m1p250,0.7546875,-1.25,133,200,8.370061902998714,-8.014706437,-2.507192091,-1.1588911804134931,1.1489341943694311,2.307825374782924
mach_0p7547_aoa_m1p020,0.7546875,-1.0197368421052633,145,200,1.6548196250005276,-8.042029781,-2.529425038,-1.1244614468295306,1.1541281233909695,2.2785895702205003
mach_0p7547_aoa_m0p789,0.7546875,-0.7894736842105263,152,200,1.4785952259990154,-8.05207403,-2.537998129,-1.0711206624949294,1.157144669235255,2.228265331730184
mach_0p7547_aoa_m0p559,0.7546875,-0.5592105263157895,159,200,1.5110944769985508,-8.039773419,-2.52621824,-1.0033566168135248,1.15772042697094,2.1610770437844646
mach_0p7547_aoa_m0p329,0.7546875,-0.32894736842105265,161,200,1.4935866289961268,-8.018913613,-2.503263083,-0.9274168893918774,1.1554736007459685,2.0828904901378458
mach_0p7547_aoa_m0p099,0.7546875,-0.09868421052631593,156,200,8.775307459996839,-8.018419535,-2.501862577,-0.841068884627717,1.150095604068388,1.991164488696105
mach_0p7547_aoa_p0p132,0.7546875,0.13157894736842102,163,200,1.6347384489999968,-8.016617612,-2.500302647,-0.8568467260806609,1.1471327484634475,2.003979474544108
mach_0p7547_aoa_p0p362,0.7546875,0.36184210526315796,166,200,1.55240518500068,-8.01532539,-2.500970345,-0.9439224424629601,1.1505033493070203,2.0944257917699804
mach_0p7547_aoa_p0p592,0.7546875,0.5921052631578947,160,200,1.5567203529935796,-8.012834177,-2.49889093,-1.0164858223775721,1.1510145980888924,2.1675004204664647
mach_0p7547_aoa_p0p822,0.7546875,0.8223684210526314,154,200,1.573077403998468,-8.024303762,-2.511976124,-1.0680029733647358,1.1489998309516771,2.217002804316413
mach_0p7547_aoa_p1p053,0.7546875,1.0526315789473681,144,200,8.410814549999486,-8.018283382,-2.507924957,-1.1281032047530883,1.14481490354265,2.2729181082957384
mach_0p7547_aoa_p1p283,0.7546875,1.2828947368421053,131,200,1.230940051995276,-8.031010507,-2.522551189,-1.1595755447034983,1.138730332217194,2.2983058769206925
mach_0p7547_aoa_p1p513,0.7546875,1.513157894736842,123,200,1.2682988239976112,-8.008142699,-2.50218527,-1.2125139353602719,1.140374395332211,2.352888330692483
mach_0p7547_aoa_p1p743,0.7546875,1.7434210526315788,118,200,1.1245670029966277,-8.023118254,-2.519176563,-1.2463246251846085,1.1435127637756781,2.3898373889602866
mach_0p7547_aoa_p1p974,0.7546875,1.973684210526316,116,200,1.0785098859996651,-8.043336541,-2.53298774,-1.2746679394161162,1.145063289995552,2.419731229411668
mach_0p7547_aoa_p2p204,0.7546875,2.2039473684210527,117,200,1.1061335269987467,-8.04359071,-2.532588018,-1.3050231418025378,1.145154882615595,2.4501780244181326
mach_0p7547_aoa_p2p434,0.7546875,2.4342105263157894,137,200,1.3603564259974519,-8.014561217,-2.495549915,-1.3382522506314392,1.1439010398388876,2.4821532904703267
mach_0p7547_aoa_p2p664,0.7546875,2.664473684210526,122,200,8.290173072004109,-8.036525419,-2.514575595,-1.3722373470397198,1.1414131263990905,2.51365047343881
mach_0p7547_aoa_p2p895,0.7546875,2.894736842105263,134,200,1.2741155219991924,-8.018801518,-2.491019002,-1.404423333185999,1.1377987672256182,2.5422221004116174
mach_0p7547_aoa_p3p125,0.7546875,3.125,141,200,2.1037932570034172,-8.009475592,-2.485822105,-1.4341400343720545,1.1337589891062647,2.5678990234783194
