"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.290143712819708e+00, 3.159921753952732e+02, -3.601867748930713e+01, 2.964756354083737e+05
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.293775870994600e+00, 3.151979060717767e+02, -3.648692717942723e+01, 2.971957238975079e+05
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.297618319509135e+00, 3.143345360738391e+02, -3.693412264511238e+01, 2.979562212388818e+05
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.301696627736392e+00, 3.134240984455248e+02, -3.736236216710671e+01, 2.987642296789117e+05
174, 8.521599769590000e-01, 1.960709133914372e-02, 1.305952080299783e+00, 3.124325150064810e+02, -3.776716445552697e+01, 2.996050038762146e+05
175, 8.631799817090000e-01, 1.826569132102762e-02, 1.310415389181670e+00, 3.113855268590671e+02, -3.815192826551017e+01, 3.004870086908352e+05
176, 8.738499879840000e-01, 1.694956337677533e-02, 1.315036929416082e+00, 3.102599256830708e+02, -3.851238504190178e+01, 3.013982023049736e+05
177, 8.841500282290000e-01, 1.566269158090452e-02, 1.319855486008467e+00, 3.090732710568173e+02, -3.885049447117044e+01, 3.023481960254531e+05
178, 8.940600156780000e-01, 1.440916392228702e-02, 1.324832133951526e+00, 3.078080226173589e+02, -3.916329352741672e+01, 3.033276439046584e+05
179, 9.035800099370001e-01, 1.319055953446835e-02, 1.329995448609689e+00, 3.064722367487973e+02, -3.945065890188227e+01, 3.043433374187475e+05
180, 9.126999974250000e-01, 1.200973104171110e-02, 1.335333507349942e+00, 3.050534562739754e+02, -3.970999562818078e+01, 3.053920624793899e+05
181, 9.214000105860000e-01, 1.087086069705918e-02, 1.340852665521609e+00, 3.035471369279852e+02, -3.994010309718217e+01, 3.064750619489572e+05
182, 9.296900033950000e-01, 9.774221272349531e-03, 1.346567608515230e+00, 3.019510694348653e+02, -4.013878819732795e+01, 3.075955215142432e+05
183, 9.375399947170000e-01, 8.725349486403867e-03, 1.352481906394123e+00, 3.002541481550369e+02, -4.030434822799651e+01, 3.087537090087485e+05
184, 9.449599981310000e-01, 7.724467125531491e-03, 1.358615229626192e+00, 2.984474627669925e+02, -4.043382627944324e+01, 3.099535047914051e+05
185, 9.519400000570000e-01, 6.774428848839826e-03, 1.364984878773378e+00, 2.965160319494591e+02, -4.052439670807630e+01, 3.111979505581899e+05
